step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,model_id,base_model,seed,hyperparameters
1,0.98344,0.86957,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
2,0.6366,0.90476,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
3,0.98653,0.8,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
4,0.29936,0.90909,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
5,0.13742,0.94286,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
6,0.13349,0.95,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
7,0.06039,0.97143,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
8,0.28834,0.93301,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
9,0.09661,0.97143,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
10,0.14821,0.93976,0.29864,0.92632,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
11,0.0579,0.98492,,,ft:gpt-3.5-turbo-0125:personal:pubmed-ft1:9DEzhV1U,gpt-3.5-turbo-0125,1082501239,"Hyperparameters(n_epochs=3, batch_size=1, learning_rate_multiplier=8)"
