completion_id,completion_tokens,prompt_tokens,total_tokens,drug_name,tested_or_effective_group,drug_tested_in_diseases,clinical_trials_id,pmid,direct_target,drug-direct_target_interaction
chatcmpl-9ALbxPL1dFBz1PnWgwRGbA5XXVZ8n,81.0,1386.0,1467.0,capivasertib,"['hormone receptor-positive, human epidermal growth factor receptor 2-negative advanced breast cancer']",['breast cancer'],['NCT04305496'],37256976,AKT,inhibitor
chatcmpl-9ALc00y8DQWDaDcUlccb6c6BwA9dy,88.0,1402.0,1490.0,camizestrant,['ESR1 mutation (ESR1m)'],"['advanced breast cancer', 'HR+/HER2- ABC']",['NCT04964934'],37070653,ESR1,selective estrogen receptor degrader (SERD)
chatcmpl-9ALc60zRPUnEaEICzRPGnAqrGVtnQ,69.0,1040.0,1109.0,Z839878730,['TNBC ALDH+ cells'],['triple negative breast cancer'],,37147285,KK-LC-1,inhibitor
chatcmpl-9ALcBBOMqs6mF6TPwXkeMrBj7Z6PE,59.0,995.0,1054.0,,['breast cancer models'],['breast cancer'],,37723305,ACSS2,inhibitor
chatcmpl-9ALcFuaYe1CFLrKl4AYOGK9hNbilZ,132.0,1040.0,1172.0,ricolinostat,['HR+/HER2- breast cancer'],"['breast cancer', 'metastatic breast cancer']",['NCT02632071'],36585452,HDAC6,inhibitor
chatcmpl-9ALcFuaYe1CFLrKl4AYOGK9hNbilZ,132.0,1040.0,1172.0,nab-paclitaxel,['HR+/HER2- breast cancer'],"['breast cancer', 'metastatic breast cancer']",['NCT02632071'],36585452,,
chatcmpl-9ALcMNTxQbqgwmVvn9z4NkWGPzCVa,105.0,955.0,1060.0,EGFR/mTOR inhibitor,['TNBC'],['breast cancer'],,37343696,,
chatcmpl-9ALcMNTxQbqgwmVvn9z4NkWGPzCVa,105.0,955.0,1060.0,AKT inhibitor,['TNBC'],['breast cancer'],,37343696,,
chatcmpl-9ALcTQR7VH0Z71HwDUIO1yJF6RZwt,66.0,976.0,1042.0,sacituzumab govitecan,['hormone receptor-positive (HRpos)/HER2-negative (HER2neg) breast cancer'],['breast cancer'],,36908287,,
chatcmpl-9ALcX5hhIsbcXww6aVVFcjfsZuqSu,63.0,975.0,1038.0,13-Oxo-ODE,['BCSCs'],['breast cancer'],,37103085,c-Myc,inhibitor
chatcmpl-9ALcc1P9LXfUTFPnF7USz0QJlXcJJ,121.0,1149.0,1270.0,fulvestrant,['ER-positive breast cancer'],['breast cancer'],,37326467,ER,selective estrogen receptor degrader
chatcmpl-9ALcc1P9LXfUTFPnF7USz0QJlXcJJ,121.0,1149.0,1270.0,abemaciclib,['ER-positive breast cancer'],['breast cancer'],,37326467,CDK4/6,inhibitor
chatcmpl-9ALciUNgsj8FZmtNGZkJG7zaA34Mu,60.0,1073.0,1133.0,S62,,['breast cancer'],,36841821,PELI1/EGFR,disruptor
chatcmpl-9ALcl4BLM1hba610CFU6kqNLSUrlL,111.0,946.0,1057.0,Cdk4/6 inhibitors,['ER+ breast cancer'],['breast cancer'],,37234088,,
chatcmpl-9ALcl4BLM1hba610CFU6kqNLSUrlL,111.0,946.0,1057.0,fulvestrant,['ER+ breast cancer'],['breast cancer'],,37234088,,
chatcmpl-9ALcshXt8FJ4m3KQ9bLXMyeyRBaMW,174.0,1121.0,1295.0,Osimertinib,"['EGFR L858R point mutations in Exon 21', 'EGFR T790M']","['non-small cell lung cancer', 'NSCLC']",,36791497,EGFR,tyrosine kinase inhibitor
chatcmpl-9ALcshXt8FJ4m3KQ9bLXMyeyRBaMW,174.0,1121.0,1295.0,ER121,"['EGFR T790M', 'EGFR C797S mutations', 'amplified ErbB2']",['human cancers'],,36791497,erbB2/HER2,kinase inhibitor
chatcmpl-9ALcshXt8FJ4m3KQ9bLXMyeyRBaMW,174.0,1121.0,1295.0,ER121,"['EGFR T790M', 'EGFR C797S mutations', 'amplified ErbB2']",['human cancers'],,36791497,EGFR C797S,kinase inhibitor
chatcmpl-9ALd3NaYgLGvVTmbeXJiTRJn6Nz5M,113.0,1115.0,1228.0,BIC-113,['breast cancer bone metastasis'],"['breast cancer', 'bone metastasis']",,36702335,AEP,inhibitor
chatcmpl-9ALd3NaYgLGvVTmbeXJiTRJn6Nz5M,113.0,1115.0,1228.0,epirubicin,['breast cancer bone metastasis'],"['breast cancer', 'bone metastasis']",,36702335,,
chatcmpl-9ALd9lvRbUTDMpzit0FNjjOYXMmUA,132.0,1212.0,1344.0,trastuzumab,"['HER2+ breast cancer', 'MUC4+ breast cancer']",['breast cancer'],,36889811,HER2,antibody
chatcmpl-9ALd9lvRbUTDMpzit0FNjjOYXMmUA,132.0,1212.0,1344.0,DN,"['HER2+ breast cancer', 'MUC4+ breast cancer']",['breast cancer'],,36889811,sTNFα,inhibitor
chatcmpl-9ALdEBv2Z66qlZ0704p3ma4528dvz,100.0,1123.0,1223.0,RMC-6272,"['ER+/HER2- breast cancer cell lines with PIK3CA or PTEN mutations', 'hormone therapy-resistant acquired cell lines', 'CDK4/6 inhibitor treated acquired resistant cell lines']",['breast cancer'],,37264081,mTORC1,inhibitor
chatcmpl-9ALdJvGJ3E8kUAJ3PIvLk5LXBSwRG,76.0,1109.0,1185.0,ASR490,"['BCSCs (ALDH+ and CD44+/CD24-)', 'breast cancer']",['breast cancer'],,36909163,Notch1,inhibitor
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,Palbociclib,,['breast cancer'],,36926455,,
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,Panobinostat,,['breast cancer'],,36926455,,
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,PD-0325901,,['breast cancer'],,36926455,,
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,PLX4720,,['breast cancer'],,36926455,,
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,Selumetinib,,['breast cancer'],,36926455,,
chatcmpl-9ALdOTba0eeCiSZEdxHrf1XbVYMlQ,229.0,1116.0,1345.0,Tanespimycin,,['breast cancer'],,36926455,,
chatcmpl-9ALdWMKsQXqKwH2YAsheg8pf1tP7j,75.0,1138.0,1213.0,AZD1390,['DNA damage response gene mutations'],"['central nervous system metastasis', 'breast cancer']",,37585496,ataxia-telangiectasia mutated,inhibitor
chatcmpl-9ALdZA9Enry4uRif5xELfwNg9IuFw,67.0,1048.0,1115.0,pralsetinib,['CCDC6-RET fusion'],"['TNBC', 'breast cancer']",,37141396,RET,inhibitor
chatcmpl-9ALdcxLgAfNYpCb959aUddOcyguAQ,171.0,1231.0,1402.0,ribociclib,['metastatic breast cancer'],['metastatic breast cancer'],,36945886,,
chatcmpl-9ALdcxLgAfNYpCb959aUddOcyguAQ,171.0,1231.0,1402.0,palbociclib,['metastatic breast cancer'],['metastatic breast cancer'],,36945886,,
chatcmpl-9ALdcxLgAfNYpCb959aUddOcyguAQ,171.0,1231.0,1402.0,abemaciclib,['metastatic breast cancer'],['metastatic breast cancer'],,36945886,,
chatcmpl-9ALdrsYpBLixBWX7KRNca1Mre3B72,107.0,1012.0,1119.0,decitabine,['TNBC'],['breast cancer'],,37128608,,
chatcmpl-9ALdrsYpBLixBWX7KRNca1Mre3B72,107.0,1012.0,1119.0,glucocorticoid,['TNBC'],['breast cancer'],,37128608,,
chatcmpl-9ALe1EvxVnPwzFtfHiM7H14fzeolE,137.0,1045.0,1182.0,alpelisib,"['PIK3CAH1047R mutated breast cancer', 'NF1 loss breast cancer']",['breast cancer'],,37044095,PI3Kα,inhibitor
chatcmpl-9ALe1EvxVnPwzFtfHiM7H14fzeolE,137.0,1045.0,1182.0,N-acetylcysteine,['NF1 loss breast cancer'],['breast cancer'],,37044095,NF1 knockout cells,sensitizer
chatcmpl-9ALe6ggUA8SEVFnlCeqSs9O8PnsZ9,123.0,1086.0,1209.0,pralsetinib,['ESR1-TAF-driven ET-resistant'],['breast cancer'],,37071495,RET,selective RET inhibitor
chatcmpl-9ALe6ggUA8SEVFnlCeqSs9O8PnsZ9,123.0,1086.0,1209.0,palbociclib,['ESR1-TAF-driven ET-resistant'],['breast cancer'],,37071495,,
chatcmpl-9ALeC0b0nwPiQKXRybGuhEKgpBkoJ,61.0,1164.0,1225.0,Fluorouracil,,"['liver cancer', 'breast cancer']",,37323664,,
chatcmpl-9ALeIZcUSOrLwfbRLmahx4Ls64kIT,78.0,1191.0,1269.0,Tunicamycin-P,['breast cancer of all subtypes'],['breast cancer'],,38362162,N-acetylglusosaminyl 1-phosphate transferase,inhibitor
chatcmpl-9ALeStW6Cl1Rw79Hzm48tlHyg3Hmn,138.0,1105.0,1243.0,NQO1-SN38,['NAD(P)H quinone oxidoreductase 1 overexpressed breast cancer'],['breast cancer'],,37099721,NQO1,TME-responsive drug
chatcmpl-9ALeStW6Cl1Rw79Hzm48tlHyg3Hmn,138.0,1105.0,1243.0,BAPN,['breast cancer with tumor stiffness'],['breast cancer'],,37099721,Lox,inhibitor
chatcmpl-9ALeXBUZWHZSiQ11sUTNuDAwXDuMh,55.0,973.0,1028.0,,['patients with advanced lung cancer'],['lung cancer'],,36657446,,
chatcmpl-9ALec8keN9A7fQgArFq8ncwTcw3JP,69.0,1207.0,1276.0,STM2457,['chemoresistant SCLC'],"['small cell lung cancer', 'SCLC']",,36932427,METTL3,inhibitor
chatcmpl-9ALei3Q7aYFGXEI9j9VeykUXrU5UN,68.0,1070.0,1138.0,,['drug-tolerant cancer cells'],['lung cancer'],,37407818,APOBEC3A,suppression
chatcmpl-9ALenJB1ThrrrBTM2gkDhz6Gs7fz1,67.0,1214.0,1281.0,IACS-010759,['TKI-resistant non-small cell lung cancer'],['lung cancer'],,37061993,OXPHOS,inhibitor
chatcmpl-9ALeqZJGXv1aMLtB4SlyWfrtGZdN8,78.0,1171.0,1249.0,MAM,"['cisplatin-resistant A549', 'AZD9291-resistant H1975']","['non-small cell lung cancer', 'NSCLC']",,37321064,NQO1,activator
